No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation
518,Which of the following statement is correct with respect to HUF ________.,(a) HUF earns income from salary,(b) Four successive generations of an undivided family,"(c) HUF enjoys a separate entity status under Income Tax Act, 1961",(d) All of the above,c,"HUF enjoys a separate entity status under the Income Tax Act, 1961."
519,In case of HUF what are liabilities of Coparcener and Karta ________.,(a) Both have unlimited liability.,(b) Coparcener’s Lability is limited while Karta’s liability is unlimited.,(c) Karta’s liability is limited while Coparcener’s liability is unlimited.,(d) Both have limited liability.,b,"In an HUF, the liability of coparceners is limited to their share, while the Karta's liability is typically unlimited."
520,Which of the following is part of HUF?,(a) Hindu and Sikh Family,(b) Parsi Family,(c) Both (a) and (b),(d) None of the above,c,"The correct answer is (c) Both (a) and (b).A Hindu Undivided Family (HUF) is a joint family consisting of all persons lineally descended from a common ancestor, including their wives and unmarried daughters. Hindus, Buddhists, Jains, and Sikhs can form HUFs. Therefore, both Hindu and Sikh families can be part of a HUF."
521,A partnership may be formed to carry on:,(a) Any trade,(b) Occupation,(c) Profession,(d) Social enterprise,d,"A partnership can be formed to carry on various business activities, including social enterprises."
522,Which of the following is not a necessary feature of partnership?,(a) Sharing of Profit,(b) Sharing of losses,(c) Agency between partners,(d) Business Purpose,b,"The correct answer is (b) Sharing of losses.Sharing of profits is a necessary feature of partnership, as it is the main reason why people form partnerships. However, sharing of losses is not a necessary feature of partnership. It is possible for partners to agree that one or more partners will not be liable for losses."
523,The agreement between partners must be ________.,(a) Verbal only,(b) Written only,(c) May be verbal or written,(d) In electronic form only.,c,"The agreement between partners may be verbal or written, but it is advisable to have it in writing for clarity."
524,"To form a partnership, the mini-mum capital contribution should be:",(a) Rs. 1 Lakh,(b) There is no minimum limit,(c) Rs. 1 Crore,(d) Rs. 5 Lakh.,b,There is no minimum capital requirement to form a partnership.
525,________ is a feature of partnership form of business.,(a) Separate legal entity from the firm,(b) Limited scope for raising finance,(c) The liability of a partner is limited to his contribution to capital,(d) Registration of partnership is compulsory,b,"The correct answer is (b) ""Limited scope for raising finance."" One of the features of the partnership form of business is that it typically has limited avenues for raising finance, especially compared to corporations or companies."
526,There can be partnership between:,(a) Natural persons,(b) Artificial persons,(c) Partnership firms,(d) Any combination of natural and artificial persons,d,"The correct answer is (d) ""Any combination of natural and artificial persons."" A partnership can involve a combination of both natural persons (individuals) and artificial persons (such as other business entities or corporations)."
527,The registration of partnership firm is:,(a) Compulsory,(b) Mandatory,(c) Statutorily required,(d) Optional.,d,"The registration of a partnership firm is optional, although it is advisable for various legal benefits."
528,Which of the following is the feature of partnership?,(a) Agreement,(b) Unlimited liability,(c) Mutual Agency,(d) All of the above,d,All the options listed are features of a partnership.
529,Which of the following is not a feature of LLP?,(a) Every partner is agent of LLP,(b) Legal entity separate from its partners,(c) Registrar of firm is the administering authority,(d) No limit on maximum No. of partners,c,The Registrar of the firm is not the administering authority of an LLP.
530,Which is not a feature of LLP?,(a) Separate legal entity.,(b) All LLP have existence for fixed period.,(c) Partnership in an LLP is required to turn into an agreement.,"(d) In an LLP, partners are not liable for the act of other partners.",b,An LLP does not have to have a fixed period of existence; it can be perpetual.
531,________ is the hybrid form of business organisation which contains the features of both the corporate from as well as proprietary form of business organisation.,(a) Partnership,(b) Company,(c) Sole Proprietorship,(d) Limited Liability partnership.,d,"A Limited Liability Partnership (LLP) is a hybrid form of business organization that combines the features of a corporate entity and a partnership, providing limited liability to its partners."
532,________ oversees the governance of the LLP.,(a) Ministry of Corporate Affairs,(b) State Government,(c) SEBI,(d) FEMA,a,The Ministry of Corporate Affairs is responsible for overseeing the governance and regulation of Limited Liability Partnerships (LLPs) in India.
533,Which one of the following is treated as a separate legal entity Afferent from its members?,(a) Sole proprietorship,(b) Hindu undivided family,(c) Partnership,(d) Limited liability partnership.,d,"An LLP is treated as a separate legal entity distinct from its individual partners, which means it has its own legal existence."
534,Which of the following is incorrect as regards LLP?,(a) Incorporation is mandatory,(b) No personal liability of partners except in case of fraud.,(c) ROC is the administrating authority,(d) The minimum number of members required is seven.,d,The statement is incorrect. The minimum number of members required to form an LLP is two.
535,What is the liability of each partner under LLP?,(a) Limited,(b) Unlimited,(c) Partially Limited,(d) None of the above,a,"In an LLP, the liability of each partner is limited to the extent of their contribution to the LLP, except in cases of fraud."
536,Which amongst the following is a feature of LLP?,(a) Separate legal entity,(b) Unlimited liability,(c) No perpetual succession,(d) Not a body corporate,a,"One of the key features of an LLP is that it is a separate legal entity, distinct from its partners."
537,Which corporation has both characteristics i.e. of a partnership and of a separate legal entity?,(a) Limited Liability Partnership (LLP),(b) Company,(c) Partnership,(d) Statutory Body.,a,"An LLP combines features of a partnership (such as the flexibility of management) with the benefits of being a separate legal entity, making it a unique business structure."
538,Limited Liability Partnership is constituted under ________.,"(a) The Companies Act, 2013","(b) Limited Liability Partnership Act, 2008","(c) Partnership Act, 1932",(d) None is applicable.,b,"LLPs are constituted under the Limited Liability Partnership Act, 2008."
539,In case of LLP.,(a) Every partner is agent of Firm only.,(b) Every partner is agent of other partners only.,(c) Every partner is agent of both firm and other partners.,(d) Every partner is not an agent at all,b,"In an LLP, every partner is an agent of the LLP and the other partners within the LLP."
540,What is the maximum No. of partners in case of LLP?,(a) 02,(b) 50,(c) 07,(d) No Limit.,d,"The correct answer is (d) ""No Limit."" In the case of a Limited Liability Partnership (LLP), there is no maximum limit on the number of partners. This is one of the advantages of the LLP structure."
541,LLP has:,(a) Liability of Partners,"(b) In case of fraud, liability of partners becomes unlimited","(c) It was incorporated under LLP Act, 2009",(d) All of the above.,d,"LLPs have limited liability of partners, and in cases of fraud, the liability of partners becomes unlimited. LLPs were incorporated under the LLP Act, 2008."
542,When FERA is converted into a FEMA:,(a) 1934,(b) 1928,(c) 1999,(d) 1997,c,FERA (Foreign Exchange Regulation Act) was replaced by FEMA (Foreign Exchange Management Act) in 1999.
543,"In order to make the system of diffused ownership of joint stock companies and their management work, ________ provides an elaborate system of corporate functioning.","(a) Companies Act, 2013","(b) Competition Act, 2002","(c) SEBI Act, 1992",(d) None of the above,a,"The Companies Act, 2013 provides the framework for the functioning of joint stock companies, addressing issues related to governance, ownership, and management."
544,"The Companies Act, 2013 provides registration for ________.",(a) One person company,(b) Small company,(c) Defunct company,(d) All of the above,d,"The Companies Act, 2013 provides registration for One Person Company (OPC), Small Company, and Defunct Company."
545,The Indian Companies Act provides for the registration of:,(a) Private Limited and Public Company,(b) One Person Company and Small Company,(c) Defunct Company,(d) All of the above,d,
546,CSR stands for:,(a) Cash Security Ratio,(b) Cash Supply Ratio,(c) Corporate Social Responsibility,(d) Consumer Satisfaction Ratio,c,"CSR stands for Corporate Social Responsibility, which involves businesses contributing positively to society and the environment."
547,Gas Authority of India Limited is an example of:,(a) Limited liability partnership,(b) Private limited company,(c) Public enterprise,(d) None of the above.,c,Gas Authority of India Limited (GAIL) is a public enterprise or a government-owned company.
548,The affairs of a company is over-seen by:,(a) Shareholders,(b) Employees,(c) Board of Directors,(d) Dividend Holders.,c,The Board of Directors is responsible for overseeing and managing the affairs of a company.
549,The objectives of the Company can be traced from which of the following document?,(a) Memorandum of Association,(b) Articles of Association,(c) Prospectus,(d) All of the above,a,"The objectives of the company can be traced from the ""Memorandum of Association."" This document outlines the company's objectives, powers, and scope of operations. The Articles of Association and Prospectus provide additional information but do not primarily contain the company's objectives."
550,The company solicits Capital Contribution by the issue of ________.,(a) Memorandum of Association,(b) Articles of Association,(c) Prospectus,(d) All of the above,c,A company solicits capital contributions from the public by issuing a prospectus that contains information about the company and its shares.
551,The Indian Corporate sector is numerically dominated by ________ Companies.,(a) Public,(b) Private,(c) Government,(d) Small,b,"In India, the corporate sector is numerically dominated by private companies."
552,"________ has been the most recently introduced from of business organisation in India vide “The Companies Act, 2013”.",(a) One Person Company,(b) Private Company,(c) Public Company,(d) Defunct Company,a,"The One Person Company (OPC) was introduced as a new form of business organization under The Companies Act, 2013."
553,"As per Companies Act, 2013, ________ company be created for a future project or to hold an asset or intellectual property and has no Significant accounting transactions.",(a) Small Company,(b) Dormant Company,(c) Gestation Company,(d) Deferred Company,b,"A Dormant Company can be created for a future project, to hold an asset, or for intellectual property and has no significant accounting transactions."
554,Which of the following document of the company focuses on its internal regulation?,(a) Memorandum of Association,(b) Article of Association,(c) Prospectus,(d) Agreement,b,The Articles of Association focus on the internal regulations and management of the company.
555,The minimum number of members in case of Private and Public companies are & respectively.,(a) 02 and 05,(b) 05 and 07,(c) 02 and 07,(d) 02 and 10,c,"The minimum number of members required for a Private Company is 2, and for a Public Company, it is 7."
556,What is the minimum number of directors in case of public companies?,(a) 01,(b) 02,(c) 03,(d) 07,c,A public company must have a minimum of three directors as per the Companies Act.
557,In …… approach says that capital structure decision is relevant to the valuation of the firm.,a)Traditional,b)Net income,c) Modiglani and Millers,d) Net operating income,b,"The correct answer is (b) ""Net income.""In the Net Income approach, it is believed that capital structure decisions are relevant to the valuation of the firm. This approach takes into account the impact of financial leverage on the net income and ultimately the value of the firm."
558,______ is defined as the length of time required to recover the initial cash outlay.,a)Payback period,b) Discounted cash back,c) IRR,d) NPV,a,The payback period is the time it takes to recover the initial cash investment or outlay in a project.
559,The term capital structure refers to…………..,a)Shareholders equity,b) Current asset and current liabilities,c) Total asset minus liabilities,d) Composition of debt and equity,d,"Capital structure refers to the mix of debt and equity financing used by a company to fund its operations and investments. It represents the combination of different sources of funds, which include shareholders' equity and various forms of debt, such as loans, bonds, and other financial instruments."
560,In Walter model alphabet ‘D’ in the formula stands for……..,a. Dividend per share,b. Dividend earning,c. Direct dividend,d. None of these,a,"In Walter's dividend model, 'D' represents the dividend per share, which is the amount of dividend paid to each shareholder per share they hold."
561,A critical assumption of NOI (Net operating income approach) to valuation is that…,a) Debt and equity levels remain unchanged.,b) Dividends increase at constant rate,c) Overall cost of capital is independent of the degree of leverage,d) Interest expenses and taxes are included in calculation,c,"In the Net Operating Income approach, it is assumed that the overall cost of capital remains constant and is independent of changes in leverage. This assumption simplifies the valuation process."
562,According to …. principle the ideal pattern of capital structure is one that tends to minimize the cost of financing.,a) Control principle,b) Cost principle,c) Risk principle,d) Flexibility principle,b,The cost principle of capital structure suggests that the optimal capital structure is the one that minimizes the cost of financing. This involves balancing the costs of debt and equity to determine the most cost-effective mix.
563,….principle says that issue of debt and preference shares do not affect the interest of equity share holders.,a) Cost principle,b) Risk principle,c) Control principle,d) Timing principle,c,"The correct answer is (c) ""Control principle.""The Control Principle states that the issue of debt and preference shares does not affect the interest of equity shareholders. It implies that the control and management of the company remain with the equity shareholders, even if debt or preference shares are issued."
564,Who Introduced Net Income approach?,a) David Durand,b) Walter,c) Gordon,d) Modigliani and Miller,a,The Net Income approach was introduced by David Durand as a method for determining the optimal capital structure of a firm.
565,One of the important assumptions of NI approach is…...,a) Cost of debt > cost of equity,b) Cost of debt < cost of equity,c) Cost of debt = Cost of equity,d) None of the above,b,One of the assumptions in the Net Income approach is that the cost of debt is less than the cost of equity. This is a key condition for the approach to be valid.
566,Traditional approach of capital structure is also known as….,a) Neutral approach,b) Mixed approach,c) Intermediate approach,d)Parallel,c,The traditional approach of capital structure is also known as the Intermediate approach. This approach does not consider the time value of money.
567,……… is not a financing method for merger and acquisition.,a) Cash,b) Vendor placing,c) Convertible bond,d) Factoring,d,"Factoring is not a common financing method for mergers and acquisitions. Financing methods typically include cash, stock, convertible bonds, or other financial instruments."
568,Convertible bonds are not ……,a) Straight bonds,b) Converted to ordinary shares,c) Two stage financial instrument,d) Hybrid securities,a,Convertible bonds are not considered straight bonds. Convertible bonds have the option to be converted into common shares of the issuing company.
569,A lease agreement grants lessee the right to….,a) Own the asset,b) Use the asset,c) Own and use the asset,d) Sell the asset,b,"A lease agreement grants the lessee the right to use the asset, but ownership typically remains with the lessor."
570,Operating lease is favoured by the lessee in respect of assets which depreciate in value on account of …..,a) Obsolescence,b) Wear and tear,c) Exhaustion,d) Fire,a,"The correct answer is (a) ""Obsolescence.""Operating leases are favored by the lessee when the assets subject to the lease depreciate in value due to obsolescence. This type of lease allows the lessee to use the asset for a specific period without bearing the risks of ownership, making it suitable for assets that may become outdated or obsolete quickly."
571,A “sale and lease back” arrangement is suitable for a lessee having…..,a) Liquidity crisis,b) Surplus fund,c) High profit,d) Loss,a,"A ""sale and leaseback"" arrangement is suitable for a lessee facing a liquidity crisis who wants to raise cash by selling assets and then leasing them back."
572,Basic lease period refers to the period during which lease is irrevocable.,a) True,b) False,c) Both A & B,d) None of the,a,The basic lease period is the initial term during which the lease is irrevocable and cannot be terminated.
573,The lessee can protect himself against obsolescence by entering into a capital lease agreement with the lessor.,a) True,b) False,c) Both A & B,d) None of the,b,"A capital lease is a financing lease, and it does not protect the lessee against obsolescence. Operating leases are typically used for protection against obsolescence."
574,A ---------- lease is a way of providing finance,a)Leveraged,b) Operating,c) Finance,d) Sale and lease back,c,"A finance lease is a lease arrangement that provides financing for the lessee, allowing them to acquire and use the asset while making periodic lease payments."
575,Economic value added is based on the -------?,,a) Profit,b) Residual wealth,c) Gross wealth,b,"Economic Value Added (EVA) is a financial performance metric based on the concept of residual wealth, which represents the value added to shareholders after accounting for the cost of capital."
576,MVA stands for….,a) Maximum value added,b) Minimum value added,c) Market value added,d) Most value added,c,"MVA stands for Market Value Added, which is the difference between the market value of a company's equity and the total capital invested in the company."
577,"A firm that acquires another firm as part of its strategy to sell off assets, cut costs, and operate the remaining assets more efficiently is engaging in __________.",a. Strategic acquisition,b. Two tier tender offer,c. A financial acquisition,d. Shark repellent,a,"The correct answer is (a) Strategic acquisition.A strategic acquisition is an acquisition that is made with the intention of improving the acquirer's competitive position. In this case, the firm is acquiring another firm in order to sell off assets, cut costs, and operate the remaining assets more efficiently. This is likely to result in a stronger and more competitive firm."
578,The ways in which mergers and acquisitions occur do not include:,a) Conglomerate takeover,b) Vertical integration,c) Diversification,d) Horizontal integration,c,"Mergers and acquisitions can occur through various strategies, including conglomerate takeovers, vertical integration, and horizontal integration. Diversification is not a way in which mergers and acquisitions occur but is a potential outcome of such transactions."
579,Which among the following does not consider time value of money?,a) NPV,b) Payback period,c) IRR,d) Discounted payback period,b,"The payback period does not consider the time value of money. Other methods like NPV, IRR, and discounted payback period take into account the time value of money."
580,How do we calculate economic value added (EVA)?,a) EVA= NOPAT – (WAAC x Capital invested),b) EVA = NOI- Cost of capital,c) EVA = EPS x WACC,d) EVA= PER x WACC,a,Economic Value Added (EVA) is calculated by subtracting the product of Weighted Average Cost of Capital (WAAC) and the Capital Invested from the Net Operating Profit After Tax (NOPAT).
581,Retained earnings is…….,a) An Indication of a company’s liquidity,b) The same as cash in the bank,c) Not important when determining dividends,d) The cumulative earnings of the company after dividends,d,Retained earnings represent the cumulative earnings of a company that have not been distributed as dividends to shareholders. It includes profits retained by the company over time.
582,Economic value added indicates….,a)Value added to economy,b) Financial performance based on residual wealth,c) Net profit,d) Expected amount of dividend,b,"Economic value added (EVA) provides an indication of a company's financial performance based on the concept of residual wealth, which measures how effectively a company utilizes its capital."
583,…… is the process under which an existing large company purchases the business of another small company doing similar business.,a) Merger,b) Acquisition,c) Absorption,d) Take over,c,Absorption is the process by which a larger existing company acquires the business of a smaller company engaged in a similar business.
584,Combination of two or more organisations in the same industry is called…..,a) Horizontal merge,b) Vertical merger,c) Concentric,d) Conglomerate,a,A horizontal merger involves the combination of two or more organizations that operate in the same industry and produce similar or related products or services.
585,………is the combination of two or more organisation in a related industry but do not offer same product.,a) Horizontal,b) Vertical,c) Concentric,d) Conglomerate,c,Concentric merger refers to the combination of two or more organizations in related industries that may have some complementarity but do not offer the same product or service.
586,"The acquisition of a firm in the same industry, but at a different stage of the production process is called",a) Conglomerate,b) Forward,c) Vertical,d) Horizontal,c,"A vertical acquisition is the acquisition of a firm in the same industry but at a different stage of the production process, such as a supplier or distributor."
587,The positive incremental net gain associated with two firms enter into a merger is called ……,a) Goodwill,b) Merger cost,c) Consolidation effect,d) Synergy,d,"The positive incremental net gain associated with two firms entering into a merger, where the combined value is greater than the sum of their individual values, is called synergy."
588,"If Microsoft were to acquire US Airways, the acquisition would be classified as a ,……..",a) Conglomerate,b) Vertical,c) Horizontal,d) Concentric,a,"The correct answer is (a) Conglomerate.A conglomerate acquisition is an acquisition of a firm in an unrelated industry. Microsoft is a technology company, while US Airways is an airline. Therefore, an acquisition of US Airways by Microsoft would be a conglomerate acquisition."
589,The distribution of shares in a subsidiary to existing parent company’s stockholder is called ……,a) Bear hug,b) Spin off,c) Buy out,d) Split off,b,The distribution of shares in a subsidiary to the existing parent company's stockholders is known as a spin-off.
590,……. is the ratio in which an acquiring company will offer its own shares in exchange for the target company’s share during merger .,a) Swap ratio,b) Price- earnings ratio,c) Exchange ratio,d) Enterprise value to sales ratio,a,The swap ratio represents the ratio in which the acquiring company offers its own shares in exchange for the shares of the target company during a merger.
591,….. isa type of takeover in which the acquiring company turns itself into a subsidiary of the purchased company.,a) Bailout takeover,b) Reverse takeover,c) Backflip,d) Conglomerate,b,"The correct answer is (b) ""Reverse takeover.""A reverse takeover is a type of takeover in which the acquiring company turns itself into a subsidiary of the purchased company. This is sometimes referred to as a ""backflip"" because the traditional roles of the acquiring and target companies are reversed. It is not related to a ""bailout takeover"" or a ""conglomerate"" takeover."
592,PAC stands for…..,a) Persons acting on concert,b) Promoters acting in concert,c) Public announcement for consolidation,d) Public acting concert,a,"PAC stands for ""Persons acting on concert."" It refers to individuals or entities that work together to acquire shares or control in a target company, often in the context of a takeover."
593,This strategy enables the existing shareholders of the target company to buy additional shares at a high discount rate.,a) Flip- in,b) Flip over,c) Spin out,d) Spin off.,a,"The ""flip-in"" strategy allows existing shareholders of the target company to buy additional shares at a high discount rate, making it more difficult for the acquiring company to take over the target."
594,This plan gives veto rights over the controlof changes to managers.,a) Golden parachute,b) Poison pills,c) Dual class stock,d) Super majority announcements,a,"The answer is (a) Golden parachute.A golden parachute is a severance package that is given to a senior executive when they are terminated from their job. Golden parachutes are often very generous, and they can include things like a large lump sum payment, continued health insurance benefits, and stock options.One of the features of a golden parachute is that it often gives the executive veto rights over changes to the company's management. This means that the executive can prevent the company from making changes to its management team without their approval."
595,White knight relates to ……,a) Green mail,b) Crown Jewel,c) Litigation,d) People pill,b,"A ""white knight"" is a friendly third party that enters a takeover situation to protect the target company from an unwanted hostile takeover. ""Crown Jewel"" is a term used in takeover defense strategies."
596,Whichof the following is a pre offer take-over defences?,a) Crown Jewel,b) People pill,c) Poison pill,d) PAC man defence,c,"The ""poison pill"" is a pre-offer takeover defense strategy used by target companies to make a hostile takeover more expensive and less attractive to the acquirer."
597,Which of the following is a post offer take- over defence?,a) Poison pills,b) Golden parachute,c) White knight,d) Dual class stock,c,"A ""white knight"" is a post-offer takeover defense strategy in which a friendly third party enters the situation to protect the target company from an unwanted hostile takeover."
598,The process by which company or organisation is divided and thereby becomes an independent business is called …..,a) Spin out,b) Spin off,c) Split off,d) Sell off,a,"The correct answer is (a) Spin out.A spin-out is a type of corporate transaction in which a company creates a new, independent company by distributing shares of the new company to its existing shareholders. Spin-outs are often used to separate a company's non-core businesses from its core businesses, or to allow a company to focus on a particular business area."
599,The process of converting a subsidiary into an independent entity is called….,a) Spin out,b) Split off,c) Sell off,d) Spin off,d,"The process of converting a subsidiary into an independent entity is also called a ""spin-off."""
600,LBO stands for….,a) Leveraged borrow outs,b) Leveraged buy outs,c) Leveraged buy offs,d) Longterm buy outs,b,"LBO stands for ""Leveraged Buyouts,"" which refers to the acquisition of a company using a significant amount of debt financing."
601,…..isan acquisition in which management team of the company purchases assets and operation they manage.,a)LBO,b)MBO,c) Demerger,d) Stubs,b,"MBO stands for Management Buyout, where the existing management team of a company acquires the assets and operations they manage."
602,NOPAT stands for….,a) Net organisation profit after tax,b) Net operating profit after tax,c) Net operation profit after a term,d) None of the above,b,"NOPAT stands for ""Net Operating Profit After Tax,"" which represents a company's operating profit after taxes have been deducted."
603,IGR stands for….,a) Interest growth rate,b) Internal gearing rate,c) Internal growth rate,d) None of the above,c,"IGR stands for ""Internal Growth Rate,"" which is a measure of a company's ability to grow using only its internal resources and reinvested earnings."
604,SGR stands for,a) Sustainable growth rate,b) Statutory growth rate,c) Stable growth rate,d) Suitable growth rate,a,"SGR stands for ""Sustainable Growth Rate,"" which is the rate at which a company can grow while maintaining its current financial structure and profitability."
605,Financial leverage indicates disproportionate change in taxable income as a result of change in……,a) Operating income,b) Operating leverage,c) Interest,d)Tax,c,"The correct answer is (c) ""Interest.""Financial leverage refers to the use of debt or borrowed funds to increase the potential return on investment. It indicates the disproportionate change in taxable income as a result of changes in interest expenses. It's a measure of how sensitive a company's taxable income is to changes in interest payments due to the presence of debt in its capital structure."
606,The term trading on equity is generally used for …. .…financial leverage,a)Unfavourable,b) Moderate,c) Less than 1,d) Favourable,d,"Trading on equity"" is typically used for favorable financial leverage, indicating that a company has effectively used debt to increase its return to equity shareholders."
607,MOS stands for ….,a) Marginal own source,b) Money of seller,c) Margin of safety,d) Medium own source,c,"MOS stands for ""Margin of Safety,"" which is a measure used in investment analysis to indicate the extent to which an investment is protected against adverse market movements."
608,The ideal situation is to have high financial leverage and low operating leverage.,a) False,b) True,c) Both A & B,d) None of the,b,"In general, having high financial leverage (favorable) and low operating leverage is often considered an ideal situation for a company's capital structure."
609,Composite leverage explains change in taxable income on account of change in sales,a) True,b) False,c) Both A & B,d) None of the,a,Composite leverage combines both operating leverage and financial leverage and explains the change in taxable income due to changes in sales.
610,Dividend on preference share capital is ignored while calculating operating leverage.,a) True,b) False,c) Both A & B,d) None of the,b,"The answer is (b) False.Operating leverage is a measure of how much a company's earnings are affected by changes in its sales. It is calculated by dividing the change in earnings by the change in sales.Dividend on preference share capital is not ignored while calculating operating leverage. It is treated as a fixed cost, meaning that it does not change with sales. Therefore, it is included in the calculation of operating leverage."
611,Trading on equity implies having a ------ debt-equity ratio.,a) Low,b) Medium,c) High,d) Normal,c,"""Trading on equity"" typically implies having a high debt-equity ratio, indicating that a company is using significant debt to enhance the return to equity shareholders."
612,………. on capital is called cost of capital.,a) Minimum expected return,b) Normally expected return,c) Higher expected return,d) None of these,a,"The ""minimum expected return"" on capital is referred to as the cost of capital, which represents the minimum return required by investors to provide capital to a company."
613,Which among the following method is based on time value of money?,a) Pay-back period,b) Post pay-back profitability,c) Discounted cash flow method,d) ARR method,c,"The discounted cash flow (DCF) method is based on the time value of money, considering the present value of future cash flows."
614,"Under net present value criteria, a project is approved if ……",a) NPV is positive,b) The funds are unlimited,c) Both A & B,d) None of these,a,"Under net present value (NPV) criteria, a project is approved if the NPV is positive, indicating that the project's expected cash flows exceed the initial investment."
615,The return available from the project after the pay-back period is not considered in the case of ……,a) Net present value,b) Profitability index,c) Internal rate of return,d) Pay-back period method,d,The payback period method does not consider the return available from the project after the payback period has been reached.
616,Internal rate of return and net present value are synonymous terms.,a) True,b) False,c) Both A & B,d) None of the,b,"Internal rate of return (IRR) and net present value (NPV) are not synonymous terms. While both are methods for evaluating investment projects, they have different calculation approaches and interpretations."
617,Ind AS deals with Lease finance is ____,a) Ind AS 17,b) Ind AS 117,c) Ind AS 102,d) Ind AS 115,d,"The correct answer is (d) Ind AS 115.Indian Accounting Standard (Ind AS) 115, Leases, deals with the accounting for leases by both lessees and lessors. It is based on the principle that leases are financing transactions, and that both lessees and lessors should recognize assets and liabilities that reflect the underlying economics of the lease.
"
618,……..is a long term lease and the lessee will be paying much more than the cost of the property or equipment to the lessor in the form of lease charges.,a) Operating lease,b) Financial lease,c) Leveraged lease,d) Direct lease,b,"A ""financial lease"" is a long-term lease in which the lessee pays more than the cost of the property or equipment to the lessor in the form of lease charges."
619,………is also known as dividend capitalisation model,a) Walter’s model,b) Gordon’s model,c) Modiglani & Millers model,d) None of these,b,"Gordon's model, also known as the Gordon Growth Model, is a method for valuing a stock based on the present value of expected dividends."
620,SVA stands for….,a) Share value accounted,b) Statutory value addition,c) Shareholder value added,d) None of the above,c,"SVA stands for ""Shareholder Value Added,"" which is a measure of a company's financial performance in terms of the value created for its shareholders."
621,Financial risk arises when there is an involvement of ……in the capital structure,a) Debt,b) Equity,c) Right issue,d) Bonus issue,a,Financial risk arises when a company includes debt in its capital structure. Debt involves interest payments and obligations that can pose a financial risk to the company.
622,The concept of EVA has been developed by …….,a) Alfred marshal,b) Benjamin Fleming,c) Stern Steward,d) Charles H Dow,c,"Economic Value Added (EVA) is a financial performance measure developed by Stern Stewart & Co., which assesses how a company generates value for its shareholders."
623,Use of more debt capital rather than equity capital is called……,a) Risk taking,b) Operating leverage,c) Combined leverage,d)None,b,"The correct answer is (b) ""Operating leverage.""Operating leverage refers to the use of more debt capital (fixed-cost financing) rather than equity capital (variable-cost financing) to finance a company's operations. It involves using debt to increase the fixed operating costs of a business, which can lead to higher potential returns but also higher financial risk."
624,The policy on quantum of dividend to be distributed as dividend is termed as ……,a) Profit sharing policy,b) Appropriation,c) Dividend policy,d) Distribution policy,c,"The policy on determining the amount of dividend to be distributed to shareholders is known as the ""dividend policy."""
625,Operating leverage is not favourable when ………,a) Fixed costs are more than contribution,b) Fixed cost is less than variable cost,c) Fixed cost and variable cost are equal,d) None of the above cases,a,"The correct answer is (a) Fixed costs are more than contribution.Operating leverage is a measure of how much a company's earnings are affected by changes in its sales. When fixed costs are more than contribution, it means that the company is not generating enough revenue to cover its fixed costs. This means that any increase in sales will result in a disproportionate increase in earnings, but any decrease in sales will also result in a disproportionate decrease in earnings."
626,Stock dividend and bonus shares are synonymous terms.,a) True,b) False,c) Both A & B,d) None of the,a,"False.Stock dividend and bonus shares are not synonymous terms. A stock dividend is a payment to shareholders in the form of additional shares, while a bonus issue is the issue of additional shares to shareholders without any additional cost.

In other words, a stock dividend is a cash dividend that is paid in shares instead of cash. A bonus issue is a free distribution of shares to shareholders. The shares issued in a bonus issue are typically funded from the company's reserves."
627,The definition of director' is contained in_____________,Clause (10) of Sec. 2,Clause (34) of Sec. 2,Clause (33) of Sec. 2,Clause (32) of Sec. 2,b,The definition of a director is contained in Clause (34) of Section 2 of the Companies Act (or relevant company law).
628,"A company may have more than 15 directors, without passing a special resolution, if the company is _____________.",A Government company,A company licenced under section 8,Both (a) and (b),A private company,c,A company may have more than 15 directors without passing a special resolution if it is a Government company or a company licensed under Section 8.
629,A company may have more than 15 directors _____________.,By passing an ordinary resolution,By passing a special resolution,With the approval of the Central Government,With the approval of the tribunal,b,"The correct answer is (b) By passing a special resolution.According to Section 149 of the Companies Act, 2013, a company may have more than 15 directors by passing a special resolution. A special resolution is a resolution that is passed by a majority of at least three-fourths of the members who vote on the resolution."
630,"""Statement (1): A One Person Company cannot have more than 1 director. Statement (2): A One Person Company can have more than 1 director if a special resolution is passed. Statement (3): A One Person Company can have 1 or more directors, but the number of directors shall not exceed 15 unless a special resolution is passed. Statement (4): A One Person Company can have any number of directors without passing a special resolution. """,Statement (1) is correct,Statement (2) is correct,Statement (3) is correct,Statement (4) is correct,c,"Statement (3) is correct. A One Person Company can have 1 or more directors, but the number of directors shall not exceed 15 unless a special resolution is passed."
631,"The minimum number of directors in a One Person Company, public company and private company are respectively _______.","1, 2 and 3","1, 2 and 7","1, 3 and 2","2, 3 and 2",c,"The minimum number of directors required in a One Person Company is 1, in a public company is 3, and in a private company is 2."
632,"Bharat Steels Ltd. is a Government company which has defaulted in filing of its financial statements with the Registrar, but there is no default in filing of annual return. Bharat Steels Ltd. can appoint more than 15 directors _________.",By passing a special resolution,With the approval of the Tribunal,With the approval of the Central Government,Without passing a special resolution and without obtaining the approval of the Central Government or Tribunal,a,"Bharat Steels Ltd. can appoint more than 15 directors by passing a special resolution, even if there is a default in filing financial statements."
