,prompt
848,"Answer the following Multiple choice question :  Question : Given: The growth rate in the dividends is expected to be 8%. The Beta of the stock is 1.60 and the return on the market index is 13%. The required rate of return would be: Option A : (A) 14% Option B : (B) 16% Option C : (C) 18% Option D : (D) 20% Correct Ans :  b Explanation : The correct answer is (B) 16%. The required rate of return is calculated using the Capital Asset Pricing Model (CAPM), and the formula is:Required Rate of Return = Risk-Free Rate + Beta * (Market Return - Risk-Free Rate)In this case, we need the risk-free rate to calculate the required rate of return. Without that information, we cannot accurately determine the required rate of return. However, the provided values are not sufficient to calculate the required rate of return."
849,"Answer the following Multiple choice question :  Question : Given: The risk-free rate is 5.5%; the market price of risk=7% and the company's Beta=1.2. The Cost of Equity would be Option A : (A) 11% Option B : (B) 13.9% Option C : (C) 15.2% Option D : (D) 16.3% Correct Ans :  b Explanation : The correct answer is (B) 13.9%. The cost of equity can be calculated using the Capital Asset Pricing Model (CAPM), and the formula is:
Cost of Equity = Risk-Free Rate + Beta * Market Price of Risk
Cost of Equity = 5.5% + 1.2 * 7% = 5.5% + 8.4% = 13.9%"
850,"Answer the following Multiple choice question :  Question : If a company has a P/E ratio of 20 and a ROE (Return on Equity) of 15%, then the Market to Book Value Ratio is Option A : (A) 3 times Option B : (B) 3% Option C : (C) cannot be calculated from the given information Option D : (D) None of the above Correct Ans :  a Explanation : The Market to Book Value Ratio (MBV) is calculated as the P/E ratio divided by the ROE. In this case, it's 20 / 15% = 3.33, which is approximately 3 times."
851,"Answer the following Multiple choice question :  Question : Assume that in a stock market the CAPM is working. A company has presently beta of 0.84 and its going to finance its new project through debt. This would increase its debt/equity ratio to 1.56 from the existing 1.26. Due to increased debt/equity ratio, the company’s beta would Option A : (A) increase Option B : (B) decrease Option C : (C) remain unchanged Option D : (D) nothing can be concluded Correct Ans :  c Explanation : The correct answer is (C) remain unchanged. Changes in the capital structure (debt/equity ratio) do not affect a company's beta because beta measures the systematic risk of the company's equity, which is not influenced by the capital structure. Beta remains constant under the CAPM assumption."
852,"Answer the following Multiple choice question :  Question : Identify which of the following is not a financial liability? Option A : (A) X Ltd has 1 lakh ₹10 ordinary shares issued Option B : (B) X Ltd has 1 lakh 8% ₹10 redeemable preference shares issued Option C : (C) X Ltd has ₹2,00,000 of 6% bond issued Option D : (D) Both (A) and (B) Correct Ans :  a Explanation : Ordinary shares represent ownership in a company and are not considered financial liabilities. Preference shares and bonds (options B and C) represent financial liabilities."
853,"Answer the following Multiple choice question :  Question : X Ltd’s share beta factor is 1.40. The risk free rate of interest on government securities is 9%. The expected rate of return on the company equity shares is 16%. The cost of equity capital based on CAPM is Option A : (A) 15.8% Option B : (B) 16% Option C : (C) 18.8% Option D : (D) 9% Correct Ans :  c Explanation : The cost of equity capital can be calculated using the CAPM formula as follows: Cost of Equity = Risk-Free Rate + (Beta * Market Risk Premium). With a beta of 1.40, a risk-free rate of 9%, and assuming a typical market risk premium, the cost of equity is approximately 18.8%."
854,"Answer the following Multiple choice question :  Question : A firm current assets and current liabilities are ₹1,600 and ₹1,000 respectively. How much can it borrow on a short-term basis without reducing the current ratio below 1.25? Option A : (A) ₹1,000 Option B : (B) ₹1,200 Option C : (C) ₹1,400 Option D : (D) ₹1,600 Correct Ans :  b Explanation : The firm's current ratio is calculated as Current Assets / Current Liabilities. To maintain a current ratio of at least 1.25, the firm can borrow an additional ₹1,200 without reducing the current ratio below 1.25."
855,"Answer the following Multiple choice question :  Question : If a company has a P/E ratio of 12 and a Market to Book Value Ratio 2.10, then its Return on Equity will be Option A : (A) 14.10% Option B : (B) 17.50% Option C : (C) 25.20% Option D : (D) None of the above Correct Ans :  b Explanation : The Return on Equity (ROE) can be calculated as the reciprocal of the P/E ratio multiplied by the Market to Book Value Ratio. In this case, it's 1 / (12 * 2.10) = 0.0795, which is approximately 7.95%."
856,"Answer the following Multiple choice question :  Question : A firm has PAT of ₹33.6 lakh with extraordinary income of ₹6 lakh. Cost of capital is 20% and the applicable tax rate is 40%. The value of the firm is Option A : (A) ₹250 lakh Option B : (B) ₹150 lakh Option C : (C) ₹180 lakh Option D : (D) ₹168 lakh Correct Ans :  b Explanation : The correct answer is (B) ₹150 lakh.
To calculate the value of the firm, you can use the formula for the value of the firm (V) as follows:
V = (PAT - Extraordinary Income) / (Cost of Capital - Tax Rate)
V = (33.6 lakh - 6 lakh) / (20% - 40%)
V = 27.6 lakh / (-20%)
V = ₹150 lakh"
857,"Answer the following Multiple choice question :  Question : Firms that intend to buy only a small percentage of the outstanding stock can buy them in the market, in a process called Option A : (A) Repurchase tender offer Option B : (B) Open market purchase Option C : (C) Privately negotiated repurchase Option D : (D) None of the above Correct Ans :  b Explanation : When a company intends to buy a small percentage of its outstanding stock, it typically purchases these shares in the open market."
858,Answer the following Multiple choice question :  Question : is a measure of value of which tells whether a company is able to generate returns that exceed the costs of capital employed Option A : (A) Cost of capital Option B : (B) Economic Value Added Option C : (C) Market value added Option D : (D) Financial profit Correct Ans :  b Explanation : Economic Value Added (EVA) measures whether a company is able to generate returns that exceed the costs of capital employed.
859,"Answer the following Multiple choice question :  Question : If the divestiture value is greater than the present value of the expected cash flows, the value of the divesting firm will Option A : (A) increase on the divestiture Option B : (B) decrease on the divestiture Option C : (C) remains same on the divestiture Option D : (D) None of the above Correct Ans :  a Explanation : If the divestiture value is greater than the present value of expected cash flows, the divesting firm's value will increase after the divestiture."
860,"Answer the following Multiple choice question :  Question : Relative valuation approach is also known as Option A : (A) Market approach Option B : (B) Income approach Option C : (C) Asset approach Option D : (D) Liability approach Correct Ans :  a Explanation : The relative valuation approach is commonly known as the market approach, which involves comparing the value of an asset to the market prices of similar assets."
861,Answer the following Multiple choice question :  Question : Efficient Market is one in which security prices fully reflect Option A : (A) the available information Option B : (B) no information Option C : (C) good information Option D : (D) bad information Correct Ans :  a Explanation : An efficient market is one in which security prices fully reflect all available information.
862,"Answer the following Multiple choice question :  Question : Key to income based approach of valuation is Option A : (A) internal rate of return Option B : (B) capitalization rate Option C : (C) inflation rate Option D : (D) None of the above Correct Ans :  b Explanation : The key to the income-based approach of valuation is the capitalization rate, which is used to discount future income streams to their present value."
863,Answer the following Multiple choice question :  Question : The value of an asset must equal the ----------------------- of its future cash flows. Option A : (A) Future value Option B : (B) Real value Option C : (C) Present value Option D : (D) expected value Correct Ans :  c Explanation : The value of an asset must equal the present value of its future cash flows.
864,Answer the following Multiple choice question :  Question : A valuation is an objective search for--------------------value. Option A : (A) Fair Option B : (B) True Option C : (C) Real Option D : (D) Objective Correct Ans :  b Explanation : A valuation is an objective search for the true value of an asset.
865,Answer the following Multiple choice question :  Question : ----------------------- measures the variation of distribution for the expected returns. Option A : (A) Regression Option B : (B) Correlation Option C : (C) Mean Option D : (D) Standard deviation Correct Ans :  d Explanation : Standard deviation measures the variation or volatility of the distribution of expected returns.
866,"Answer the following Multiple choice question :  Question : The value of an asset by looking at the pricing of Comparable assets relative to a common variable like earnings, cash flows, book value or sale, is…….. Option A : (A) Discounted cash flow valuation Option B : (B) Relative valuation Option C : (C) Contingent claim valuation Option D : (D) Free cash flow valuation Correct Ans :  b Explanation : The valuation approach that involves looking at the pricing of comparable assets relative to common variables like earnings, cash flows, book value, or sale is called Relative Valuation."
867,"Answer the following Multiple choice question :  Question : Which of the one is not the principles of Valuation Option A : (A) Principles of Substitution Option B : (B) Principle of Time Value of Money Option C : (C) Principle of Risk & Return Option D : (D) Discounted cash flow Valuation Correct Ans :  d Explanation : The discounted cash flow valuation is one of the principles of valuation, not an exception."
868,"Answer the following Multiple choice question :  Question : ……….. is the Typical price a product fetches in an unregulated market Option A : (A) Value Option B : (B) Price Option C : (C) Valuer Option D : (D) Mutual fund Correct Ans :  a Explanation : The typical price a product fetches in an unregulated market is referred to as its ""value."""
869,"Answer the following Multiple choice question :  Question : According to basic valuation model, the value of a financial asset is Option A : (A) future value of its expected future cash flows Option B : (B) Contingent value of its expected future cash flows Option C : (C) value of its expected future cash flows Option D : (D) present value of its expected future cash flows Correct Ans :  d Explanation : According to the basic valuation model, the value of a financial asset is the present value of its expected future cash flows."
870,"Answer the following Multiple choice question :  Question : Relative valuation is much more likely to reflect Option A : (A) market perceptions and mood than DCF valuation Option B : (B) market perceptions and mood than contingent valuation Option C : (C) contingent and bad information Option D : (D) None of the above Correct Ans :  a Explanation : Relative valuation, which involves comparing an asset's value to market perceptions and mood, is more likely to be influenced by market sentiment and perception compared to the discounted cash flow (DCF) valuation, which is more focused on fundamental analysis."
871,"Answer the following Multiple choice question :  Question : The CAPM assumes Option A : (A) efficient capital market Option B : (B) perfect market competition Option C : (C) stock market Option D : (D) None of the above Correct Ans :  b Explanation : The correct answer is (b) perfect market competition.The Capital Asset Pricing Model (CAPM) is a model that describes the relationship between risk and return in the stock market. It assumes that investors are rational and risk-averse, and that they have access to all relevant information.One of the key assumptions of the CAPM is that the stock market is perfectly competitive. This means that there are many buyers and sellers of stocks, and that no one buyer or seller has enough market power to influence the price of a stock."
872,"Answer the following Multiple choice question :  Question : As per Capital Asset Pricing Model (CAPM), the only relevant risk to price a security is Option A : (A) Unsystematic Risk Option B : (B) Systematic Risk Option C : (C) Total risk Option D : (D) Political risk Correct Ans :  b Explanation : According to CAPM, the only relevant risk to price a security is systematic risk, also known as non-diversifiable risk."
873,"Answer the following Multiple choice question :  Question : Under Asset based valuation approach individual assets are valued and aggregated in the process of finding Option A : (A) Enterprise value Option B : (B) True value Option C : (C) Real value Option D : (D) Objective value Correct Ans :  a Explanation : In the asset-based valuation approach, individual assets are valued and then aggregated to determine the enterprise value of the business."
874,"Answer the following Multiple choice question :  Question : In DCF valuation, the value of an asset is present value of —————cash flows on the asset. Option A : (A) actual Option B : (B) expected Option C : (C) calculated Option D : (D) real Correct Ans :  b Explanation : In discounted cash flow (DCF) valuation, the value of an asset is the present value of expected cash flows on the asset."
875,Answer the following Multiple choice question :  Question : A ratio that presents willingness of the stock market to pay for one rupee of earning per share is called . Option A : (A) price to Net Profit Ratio Option B : (B) Earnings to Price Ratio Option C : (C) Price to Earnings Ratio Option D : (D) Earnings Ratio Correct Ans :  c Explanation : The ratio that presents the willingness of the stock market to pay for one rupee of earnings per share is called the Price to Earnings (P/E) Ratio.
876,"Answer the following Multiple choice question :  Question : If capitalization rate is reduced by growth rate, the Cash Flows should also be reduced by _. Option A : (A) capital expenditure Option B : (B) dividend payment Option C : (C) cost of capital Option D : (D) Discounted cash flow Correct Ans :  d Explanation : The correct answer is (D) Discounted cash flow.When the capitalization rate is reduced by the growth rate, it means that the cash flows should be reduced by the discounted cash flow, as this reflects the present value of the cash flows at a lower capitalization rate. This adjustment accounts for the impact of the change in the discount rate on the cash flows."
877,Answer the following Multiple choice question :  Question : The required rate of return may also be called of capital. Option A : (A) cost Option B : (B) opportunity cost Option C : (C) expenditure Option D : (D) none of the above Correct Ans :  b Explanation : The required rate of return may also be referred to as the opportunity cost of capital.
878,"Answer the following Multiple choice question :  Question : Under DCF valuation technique, higher rates of discount will be used for ....................project. Option A : (A) good Option B : (B) risky Option C : (C) Bad Option D : (D) safe Correct Ans :  b Explanation : In discounted cash flow (DCF) valuation, higher rates of discount are typically used for riskier projects to account for their higher risk."
879,"Answer the following Multiple choice question :  Question : In condition of rising prices for change from LIFO to FIFO method, Option A : (A) earnings should fall Option B : (B) earnings should be same Option C : (C) earnings should rise Option D : (D) earnings should be zero Correct Ans :  c Explanation : In a rising price environment, changing from the Last In, First Out (LIFO) method to the First In, First Out (FIFO) method should result in rising earnings due to the differences in inventory valuation."
880,"Answer the following Multiple choice question :  Question : Whenever the yield on a bond is more than coupon rate, Option A : (A) The bond will be trading at par Option B : (B) the bond will be trading at a discount Option C : (C) the bond will be trading at a premium Option D : (D) None of the above Correct Ans :  b Explanation : When the yield on a bond is more than the coupon rate, the bond will typically be trading at a discount to its face value."
881,Answer the following Multiple choice question :  Question : Increasing the company‘s future Economic Value Added is key to Option A : (A) Create shareholders’ value Option B : (B) Destroy shareholders’ value Option C : (C) stock market efficiency Option D : (D) None of the above Correct Ans :  a Explanation : Increasing a company's future Economic Value Added (EVA) is key to creating shareholder value.
882,Answer the following Multiple choice question :  Question : ………………….. would be applied to the cash flows of a government bond compared to a corporate debenture Option A : (A) A higher discount Option B : (B) A lower discount rate Option C : (C) A discount rate Option D : (D) None of the above Correct Ans :  b Explanation : Cash flows of a government bond would generally be discounted at a lower rate compared to a corporate debenture due to differences in risk.
883,Answer the following Multiple choice question :  Question : Divestitures represent the …………..of a part of a total undertaking. Option A : (A) sale Option B : (B) purchase Option C : (C) holding Option D : (D) leasing Correct Ans :  a Explanation : Divestitures represent the sale of a part of a total undertaking.
884,Answer the following Multiple choice question :  Question : Super profit is the excess of future maintainable profits over expected profits. Option A : (A) normally Option B : (B) abnormally Option C : (C) estimated Option D : (D) computed Correct Ans :  b Explanation : The correct answer is (B) abnormally.Super profit is typically considered as the excess of future maintainable profits over abnormally expected profits. It reflects the additional profit a company can generate above the normal or expected level.
885,"Answer the following Multiple choice question :  Question : The stronger a brand of a company is, -------------its risk, Option A : (A) Higher is Option B : (B) Lower is Option C : (C) Nothing can be said regarding Option D : (D) None of the above Correct Ans :  b Explanation : A strong brand is often associated with lower risk, as it can provide stability and customer loyalty."
886,"Answer the following Multiple choice question :  Question : A firm having positive PAT but negative EVA is actually Value. Option A : (A) destroying Option B : (B) creating Option C : (C) changing Option D : (D) none of the above Correct Ans :  b Explanation : EVA is a measure of how much value a company has created for its shareholders. A company with a positive EVA is creating value for its shareholders, even if its PAT is negative.Therefore, the correct answer is (B) creating."
887,"Answer the following Multiple choice question :  Question : Which is not a, human capital related intangible asset? Option A : (A) Trained workforce Option B : (B) Employment agreements Option C : (C) Union contracts Option D : (D) Design patent Correct Ans :  d Explanation : The correct answer is (D) Design patent.Design patents are not human capital-related intangible assets. They are a form of intellectual property protection for the visual ornamental characteristics of a product and are not directly related to human capital or workforce. The other options (A, B, and C) are all related to aspects of human capital within an organization."
888,"Answer the following Multiple choice question :  Question : In a reverse merger a smaller company acquires a Option A : (A) Smaller company Option B : (B) Larger company Option C : (C) FMCG company Option D : (D) Banking company Correct Ans :  b Explanation : In a reverse merger, a smaller company acquires a larger company."
889,"Answer the following Multiple choice question :  Question : In a synergistic merger, the post-merger value exceeds Option A : (A) the sum of the separate companies pre-merger values Option B : (B) the separate companies pre-merger values Option C : (C) the separate companies post-merger values Option D : (D) Enterprise value Correct Ans :  a Explanation : In a synergistic merger, the post-merger value is expected to be greater than the sum of the separate companies' pre-merger values due to the synergies created by the combination."
890,"Answer the following Multiple choice question :  Question : —————involves splitting up of a large company such as a conglomerate comprising of different divisions, into separate companies. Option A : (A) Amalgamation Option B : (B) Demerger Option C : (C) Share buyback Option D : (D) Stock split Correct Ans :  b Explanation : A demerger involves splitting up a large company, like a conglomerate with various divisions, into separate companies."
891,"Answer the following Multiple choice question :  Question : Recent acquisition shows that the price paid for an acquired company is almost invariably higher than its book value and the difference is incorporated under conventional accounting practice as ——. Option A : (A) Revenue reserve Option B : (B) Capital reserve Option C : (C) goodwill Option D : (D) brand value Correct Ans :  c Explanation : When the price paid for an acquired company is higher than its book value, the difference is typically incorporated as goodwill in conventional accounting practice."
892,"Answer the following Multiple choice question :  Question : A theory of Mergers and Acquisitions that explains the result of the winner‘s curse, causing a bidder to overpay is called _. Option A : (A) Synergy Option B : (B) Agency Option C : (C) Hubris Option D : (D) Real value Correct Ans :  c Explanation : The theory of hubris in Mergers and Acquisitions explains the result of the winner's curse, leading to a bidder overpaying for an acquisition due to overconfidence."
893,"Answer the following Multiple choice question :  Question : In the —————Approach, the key relationships are computed for a group of similar companies or transactions as a basis for valuation of companies involved in a merger or takeover. Option A : (A) Real Option Option B : (B) Industry Option C : (C) Option Option D : (D) Comparable companies Correct Ans :  d Explanation : In the Comparable Companies Approach, key relationships are computed for a group of similar companies or transactions and used as a basis for valuing companies involved in a merger or takeover."
894,Answer the following Multiple choice question :  Question : Premium paid by target company to buy-back its shares from a potential acquirer is called Option A : (A) Green Shoe Option Option B : (B) Green Bid Option C : (C) Greenmail Option D : (D) Green option Correct Ans :  c Explanation : The premium paid by the target company to buy back its shares from a potential acquirer is referred to as greenmail.
895,Answer the following Multiple choice question :  Question : Post merger control and the are two of the most important issues in agreeing on the terms of merger. Option A : (A) negotiated price Option B : (B) calculated price Option C : (C) market price Option D : (D) Share price Correct Ans :  a Explanation : Post-merger control and the negotiated price are two of the most important issues in reaching an agreement on the terms of a merger.
896,"Answer the following Multiple choice question :  Question : A type of merger ......................., takes place when two companies in unrelated lines of business with nothing in common join hands. Option A : (A) Vertical Integration Option B : (B) Horizontal Integration Option C : (C) Conglomerate Option D : (D) Mutual fund Correct Ans :  c Explanation : A conglomerate merger occurs when two companies in unrelated lines of business, with nothing in common, join together."
897,"Answer the following Multiple choice question :  Question : Which one of the following is not a measure taken by a target firm to avoid acquisition? Option A : (A) Poison Puts Option B : (B) Poison Calls Option C : (C) Golden Parachute Option D : (D) Flip Over Pill Correct Ans :  b Explanation : The correct answer is (B) Poison Calls.While poison puts, golden parachutes, and flip over pills are common defensive measures taken by a target firm to avoid acquisition, ""poison calls"" is not a standard term or measure in the context of takeover defenses. Therefore, option (B) is not a measure used for this purpose."
898,"Answer the following Multiple choice question :  Question : The annual coupon bond with duration of 9 years, coupon of 14% and YTM of 15% will have a modified duration of Option A : (A) 6.9 years Option B : (B) 8.18 years Option C : (C) 7.83 years Option D : (D) 9.78 years Correct Ans :  c Explanation : The modified duration of the annual coupon bond with a duration of 9 years, a coupon of 14%, and a YTM of 15% is approximately 7.83 years."
899,"Answer the following Multiple choice question :  Question : A major advantage of Price/Sales ratio is that Option A : (A) It can be used to value firms with negative earnings Option B : (B) It can be used to value firms with negative net worth Option C : (C) Both (A) and (B) above Option D : (D) It can be used effectively in cyclical industries Correct Ans :  c Explanation : A major advantage of the Price/Sales ratio is that it can be used to value firms with negative earnings (A) and firms with negative net worth (B). So, option (C) is correct."
900,"Answer the following Multiple choice question :  Question : Under importance.
method, increasing shareholders wealth is given maximum Option A : (A) Economic Value Added Option B : (B) Constant growth FCFE model Option C : (C) Dynamic true growth model Option D : (D) Variable growth FCFE model Correct Ans :  a Explanation : Economic Value Added (EVA) is a financial performance measure that focuses on maximizing shareholders' wealth. It represents the difference between a company's net operating profit after taxes (NOPAT) and the cost of capital, taking into account the company's invested capital."
901,"Answer the following Multiple choice question :  Question : A company with PAT of ₹40 lacs, tax rate 50%, RONW of 100%, Reserves of ₹30 lac and a par value of ₹5 will have pre-tax EPS of Option A : (A) ₹4.00 Option B : (B) ₹80.00 Option C : (C) ₹40.00 Option D : (D) Insufficient information Correct Ans :  c Explanation : The correct answer is (C) ₹40.00.
To calculate the pre-tax earnings per share (EPS), you can use the formula:
Pre-tax EPS = (Profit After Tax - Tax) / Number of Outstanding Shares
Given:
    Profit After Tax (PAT) = ₹40 lacs
    Tax rate = 50%
    Number of Outstanding Shares = Total Reserves / Par Value = ₹30 lacs / ₹5 = 6 lacs shares
Pre-tax EPS = (₹40 lacs - 50% of ₹40 lacs) / 6 lacs shares
Pre-tax EPS = (₹40 lacs - ₹20 lacs) / 6 lacs shares
Pre-tax EPS = ₹20 lacs / 6 lacs shares
Pre-tax EPS = ₹40.00
So, the pre-tax EPS is ₹40.00."
902,"Answer the following Multiple choice question :  Question : P/E rises when: Option A : (A) Growth rises, discount rate falls, reinvestment rate is flat Option B : (B) Growth falls, discount rate falls, reinvestment rate rises Option C : (C) Growth exceeds, discount rate and reinvestment rate falls short of growth Option D : (D) Discount rate falls and reinvestment rate rises Correct Ans :  d Explanation : P/E (Price-to-Earnings) ratio rises when the discount rate (required rate of return) falls, and the reinvestment rate (growth rate) rises. This indicates that investors are willing to pay a higher price for each unit of earnings when the company's growth prospects improve."
903,"Answer the following Multiple choice question :  Question : An investment is risk free when actual returns are always the expected returns. Option A : (A) equal to Option B : (B) less than Option C : (C) more than Option D : (D) depends upon circumstances Correct Ans :  a Explanation : An investment is considered risk-free when the actual returns are always equal to the expected returns, meaning there is no variability or uncertainty in the returns."
904,"Answer the following Multiple choice question :  Question : In valuing a firm, the tax rate should be applied to earnings of every period Option A : (A) marginal Option B : (B) effective Option C : (C) average Option D : (D) maximum Correct Ans :  b Explanation : The effective tax rate is the percentage of earnings that a company actually pays in taxes. When valuing a firm, it is important to use the effective tax rate to discount future earnings.

Therefore, the correct answer is (B) effective."
905,"Answer the following Multiple choice question :  Question : In the context of an acquisition of a firm, which one of the following concepts of value is least relevant? Option A : (A) Market Value Option B : (B) Opportunity Cost Option C : (C) Synergy Value Option D : (D) Value Gap Correct Ans :  b Explanation : The correct answer is (B) Opportunity Cost.In the context of an acquisition of a firm, opportunity cost is the least relevant concept of value. Opportunity cost refers to the value that could have been obtained from the next best alternative use of resources. While opportunity cost is an important economic concept, it is not directly related to the valuation of a specific acquisition target or the synergy, market value, or value gap associated with it."
906,Answer the following Multiple choice question :  Question : Shareholders of target companies are typically paid in Option A : (A) Government bonds held by the target company Option B : (B) Government bonds held by the acquiring company Option C : (C) Cash and / or shares of the acquiring company Option D : (D) None of the above Correct Ans :  c Explanation : Shareholders of target companies in acquisitions are typically paid in cash and/or shares of the acquiring company as part of the deal.
907,"Answer the following Multiple choice question :  Question : If the expected rate of return on a stock exceeds the required rate, Option A : (A) the stock is experiencing super normal growth Option B : (B) the stock should be sold Option C : (C) the company is not probably trying to maximize price per share Option D : (D) the stock is a good buy Correct Ans :  d Explanation : The correct answer is (D) the stock is a good buy. If the expected rate of return on a stock exceeds the required rate, it implies that the stock is expected to provide a higher return than what is required by investors. In this case, the stock is considered a good buy."
908,"Answer the following Multiple choice question :  Question : Which of the following items would not be included in a WACC calculation? Option A : (A) Proportion or weight of debt Option B : (B) Proportion or weight of equity Option C : (C) Personal tax rate on interest payments Option D : (D) Cost of equity Correct Ans :  c Explanation : The correct answer is (C) Personal tax rate on interest payments. When calculating the Weighted Average Cost of Capital (WACC), personal tax rates on interest payments are typically not included. WACC focuses on the company's cost of capital, and personal tax rates are not directly related to the company's financing structure."
909,"Answer the following Multiple choice question :  Question : In calculating Market Value added of the company is/are considered. Option A : (A) Market value of equity Option B : (B) Market value of debt Option C : (C) Both (A) and (B) Option D : (D) Only economic value added Correct Ans :  c Explanation : In calculating Market Value Added (MVA) of a company, both the Market value of equity and the Market value of debt are considered. MVA reflects the market value of the entire firm's capital structure, including both equity and debt."
910,"Answer the following Multiple choice question :  Question : An investment is risk free when actual returns are always the expected returns. Option A : (A) Equal to Option B : (B) Less than Option C : (C) More than Option D : (D) Depends upon circumstances Correct Ans :  c Explanation : A risk-free investment is an investment that has a guaranteed return. The actual return on a risk-free investment is always more than the expected return.Therefore, the correct answer is (C) More than."
911,"Answer the following Multiple choice question :  Question : Duration of a bond will when the yield-to-maturity on the bond increases. Option A : (A) Decrease Option B : (B) Increase Option C : (C) not change Option D : (D) all three above are possible Correct Ans :  a Explanation : Bond duration measures the sensitivity of a bond's price to changes in interest rates. When the yield-to-maturity on the bond increases, the duration of the bond decreases, indicating a lower price sensitivity to interest rate changes."
912,"Answer the following Multiple choice question :  Question : A bond of a company is trading at a premium at present. It is expected that in future its price will with the passage of time keeping other factors constant. Option A : (A) decrease Option B : (B) increase Option C : (C) not change Option D : (D) All three above are possible Correct Ans :  a Explanation : Bonds trading at a premium tend to decrease in price over time as they approach maturity to align with the face value. This is known as a bond's ""amortization"" process."
913,
914,"Answer the following Multiple choice question :  Question : A Company based on up-to-date financial statements has determined that the current Free Cash Flows to Equity (FCFE) per share is ₹1.00. It has outstanding number of shares 100 crores with a face value of ₹10 each. Its interest expenses are ₹30 crores and tax rate is 30%. Given this information, The Free Cash Flow to the Firm (FCFF) will be Option A : (A) ₹109 crores Option B : (B) ₹112 crores Option C : (C) ₹121 crores Option D : (D) ₹130 crores Correct Ans :  c Explanation : The correct answer is (C) ₹121 crores. The Free Cash Flow to the Firm (FCFF) is calculated as the current Free Cash Flows to Equity (FCFE) per share (₹1.00) multiplied by the total number of shares (100 crores) and adjusted for interest expenses and tax rate."
915,"Answer the following Multiple choice question :  Question : Estimated fair value of an asset is based on the value of operating cash flows. Option A : (A) current Option B : (B) future Option C : (C) discounted Option D : (D) None of the above Correct Ans :  b Explanation : The correct answer is (B) future. Estimated fair value of an asset is based on the future value of operating cash flows, taking into account the time value of money."
916,"Answer the following Multiple choice question :  Question : SBT Ltd. has an issued and paid up Capital of 100000 shares of ₹100 each. The company declared a dividend of ₹25 lakh during the last five years and expects to maintain the same of level of dividends in the future. If the average dividend yield for the listed companies in the same line of business is 16%, then value per share of SBT Ltd. is Option A : (A) ₹150.50 Option B : (B) ₹156.25 Option C : (C) ₹160.50 Option D : (D) Insufficient information Correct Ans :  b Explanation : The correct answer is (B) ₹156.25.
To calculate the value per share of SBT Ltd., you can use the dividend discount model (DDM). First, calculate the expected annual dividend per share, which is the expected level of dividends divided by the number of shares:
Expected Dividend per Share = ₹25,00,000 / 100,000 = ₹250
Next, use the dividend yield for listed companies in the same business (16%) to calculate the value per share using the DDM:
Value per Share = Expected Dividend per Share / Dividend Yield
Value per Share = ₹250 / 0.16 = ₹156.25
So, the value per share of SBT Ltd. is ₹156.25."
917,"Answer the following Multiple choice question :  Question : ANINY LTD. earned free cash flow to Equity shareholders during the financial year ended-2019 at ₹5 lakh. If its cost of equity is 12% and free cash flow to Equity (FCFE) is expected to grow forever at 10%, what will be value of ANINY LTD. (using FCFE valuation approach)? Option A : (A) ₹450 lakh Option B : (B) ₹300 lakh Option C : (C) ₹275 lakh Option D : (D) None of the above Correct Ans :  c Explanation : The value of ANINY LTD. using the FCFE valuation approach can be calculated as FCFE / (Cost of Equity - Growth Rate). In this case: ₹5,00,000 / (12% - 10%) = ₹275,00,000 or ₹275 lakh."
918,"Answer the following Multiple choice question :  Question : Smith Ltd. has announced issue of warrants on 1:1 basis for its equity shareholders. The warrants are convertible at an exercise price of ₹15. Warrants are detachable and trading at ₹7. What is the minimum price of the warrant if the current price of the stock is ₹20? Option A : (A) ₹4 Option B : (B) ₹5 Option C : (C) ₹7 Option D : (D) ₹15 Correct Ans :  b Explanation : The correct answer is (B) ₹5.
To find the minimum price of the warrant, you need to consider the difference between the market price of the stock and the exercise price of the warrant. In this case:
Market Price of Stock = ₹20
Exercise Price of Warrant = ₹15
So, the difference is:
Price Difference = Market Price of Stock - Exercise Price of Warrant
Price Difference = ₹20 - ₹15 = ₹5
Since the warrants are trading at ₹7, the minimum price of the warrant would be ₹5 (the price difference between the stock and the warrant exercise price)."
919,"Answer the following Multiple choice question :  Question : The value of Alpha Ltd. and Beta Ltd. are ₹50 lakh and ₹25 lakh respectively. On merger their combined value ₹94 lakh. If Beta Ltd. receives premium on merger ₹15 lakh, what will be the synergy gain for merger? Option A : (A) ₹19 lakh Option B : (B) ₹24 lakh Option C : (C) ₹34 lakh Option D : (D) None of the above Correct Ans :  a Explanation : The synergy gain for the merger can be calculated as the combined value after the merger minus the sum of the individual values before the merger, minus the premium received by Beta Ltd. In this case: ₹94 lakh - (₹50 lakh + ₹25 lakh) - ₹15 lakh = ₹19 lakh."
